STUDY_ID	SAMPLE_ID	REST	MAPK8IP2	ATP1A3	RUNDC3A	CDK5R1	TLCD3B
gbm_tcga_pan_can_atlas_2018	TCGA-28-1746-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-27-2528-01	0.272	-0.4567	-0.6162	-0.6198	-0.5263	-0.5288
gbm_tcga_pan_can_atlas_2018	TCGA-27-2527-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-27-2526-01	-1.2299	-0.2179	-0.7044	-0.5283	-0.8105	-0.7198
gbm_tcga_pan_can_atlas_2018	TCGA-27-2524-01	-0.9698	-0.0805	-0.475	0.04	-0.6837	-0.5314
gbm_tcga_pan_can_atlas_2018	TCGA-27-2523-01	0.1443	-0.7904	-0.2666	0.2192	0.9848	-0.132
gbm_tcga_pan_can_atlas_2018	TCGA-27-2521-01	-0.1717	0.2856	-0.2765	0.7247	-0.1446	0.3804
gbm_tcga_pan_can_atlas_2018	TCGA-27-2519-01	-0.9817	-0.7025	-0.4091	-0.2071	1.1216	1.232
gbm_tcga_pan_can_atlas_2018	TCGA-27-2518-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-27-1838-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-27-1837-01	-0.6973	0.7367	-0.0892	0.2877	0.5917	0.1453
gbm_tcga_pan_can_atlas_2018	TCGA-27-1836-01	NP	NP	NP	NP	NP	NP
gbm_tcga_pan_can_atlas_2018	TCGA-27-1835-01	-0.7464	-1.0033	-0.7127	-0.1911	-0.0506	-0.4707
gbm_tcga_pan_can_atlas_2018	TCGA-27-1834-01	0.3366	-0.2778	-0.4444	-0.4905	-0.1873	-0.614
gbm_tcga_pan_can_atlas_2018	TCGA-27-1833-01	NP	NP	NP	NP	NP	NP
